order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI00869,2018-05-26,12:43:56,Lunch,NS,"[('Steak', 7), ('Salad', 3), ('Chicken', 3), ('Burger', 2), ('Fries', 10)]",644.6,-37.8058495,144.9558643,0,7.96,15.5680951
ORDJ00841,2018-03-17,10:21:58,Breakfast,TP,"[('Pancake', 8), ('Coffee', 9), ('Cereal', 1), ('Eggs', 10)]",502.5,-37.8205595,144.9839187,0,9.266,13.2427044
ORDI10994,2018-10-02,17:07:36,Dinner,NS,"[('Salmon', 3), ('Fish&Chips', 1), ('Shrimp', 6)]",482.0,-37.8206269,144.9668783,0,8.805,15.0556257
ORDJ00391,2018-03-18,10:32:06,Breakfast,TP,"[('Eggs', 6), ('Cereal', 3)]",195.0,-37.8231974,145.0142992,0,11.864,15.3036494
ORDY09101,2018-02-01,09:00:50,Breakfast,,"[('Pancake', 3), ('Cereal', 4), ('Eggs', 4)]",244.75,-37.8206179,144.9791298,0,8.803,11.2074879
ORDC10686,2018-03-20,10:32:06,Breakfast,,"[('Pancake', 8), ('Coffee', 6), ('Cereal', 8)]",407.0,-37.8121172,144.9592222,0,7.991,12.8641277
ORDI02876,2018-11-21,18:49:00,Dinner,NS,"[('Salmon', 4), ('Pasta', 5), ('Shrimp', 3)]",463.5,-37.8249996,144.9669068,0,9.24,15.2594784
ORDJ11006,2018-01-11,08:20:16,Breakfast,TP,"[('Coffee', 2), ('Pancake', 3), ('Cereal', 5)]",192.75,-37.8167185,144.9844199,1,9.304,5.7652787
ORDA06509,2018-11-16,18:38:52,Dinner,BK,"[('Shrimp', 1), ('Pasta', 5)]",191.5,-37.8180701,144.9668782,0,7.521,14.3506309
ORDB05267,2018-08-31,15:56:37,Lunch,TP,"[('Salad', 3), ('Fries', 3), ('Chicken', 9), ('Steak', 1)]",420.6,-37.8047691,144.9621699,0,9.253,12.5598406
