order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ02701,2018-03-24,10:42:15,Breakfast,NS,"[('Cereal', 3), ('Coffee', 3), ('Eggs', 9)]",283.5,-37.819338,144.9851526,0,9.03,15.6477929
ORDY10919,2018-08-22,15:46:28,Lunch,TP,"[('Steak', 7), ('Chicken', 6), ('Burger', 9), ('Salad', 2), ('Fries', 9)]",928.4,-37.8110631,144.9503575,0,9.308,12.8437687
ORDZ06306,2018-09-23,16:47:19,Dinner,NS,"[('Pasta', 6), ('Shrimp', 2), ('Salmon', 2), ('Fish&Chips', 10)]",705.0,-37.8090886,144.9291438,0,9.907,17.8489145
ORDX00059,2018-08-27,15:56:37,Lunch,BK,"[('Burger', 8), ('Salad', 9), ('Chicken', 9)]",690.8,-37.8046514,144.9377347,0,10.141,16.3312027
ORDA09339,2018-01-11,08:20:16,Breakfast,BK,"[('Eggs', 6), ('Coffee', 5)]",169.5,-37.8072596,144.9573961,1,8.19,6.7565836
ORDZ02685,2018-02-01,09:00:50,Breakfast,NS,"[('Cereal', 3), ('Eggs', 6), ('Coffee', 8)]",255.0,-37.8246219,144.989621,0,9.703,15.1684863
ORDZ05528,2018-04-09,11:12:40,Breakfast,NS,"[('Pancake', 8), ('Cereal', 7), ('Coffee', 2), ('Eggs', 2)]",400.0,-37.8024309,144.9436393,0,8.774,13.4199722
ORDZ00430,2018-12-11,19:19:26,Dinner,NS,"[('Pasta', 10), ('Salmon', 8)]",603.0,-37.8153198,144.9365331,0,9.959,16.3784922
ORDI08401,2018-11-17,18:38:52,Dinner,NS,"[('Shrimp', 8), ('Pasta', 4)]",542.0,-37.8066989,144.9415151,0,9.435,17.9743761
ORDY05567,2018-09-14,16:27:02,Dinner,TP,"[('Shrimp', 9), ('Salmon', 4)]",650.0,-37.8113599,144.9272092,0,11.475,7.96379695
ORDK07541,2018-01-16,08:30:25,Breakfast,BK,"[('Pancake', 7), ('Eggs', 8), ('Coffee', 4), ('Cereal', 7)]",522.75,-37.8051508,144.9280879,1,10.738,7.8068816
ORDX06262,2018-05-16,12:23:39,Lunch,BK,"[('Steak', 5), ('Salad', 3), ('Chicken', 3), ('Fries', 2), ('Burger', 7)]",613.6,-37.8080861,144.9708971,0,7.085,13.0574189
ORDC09098,2018-11-19,18:38:52,Dinner,NS,"[('Pasta', 9), ('Fish&Chips', 6), ('Shrimp', 1), ('Salmon', 4)]",675.5,-37.8140163,144.9360782,0,10.107,23.61206175
ORDB00047,2018-05-05,12:03:22,Lunch,TP,"[('Salad', 5), ('Steak', 10)]",536.0,-37.8189445,144.9466798,0,9.17,13.8247713
ORDX05810,2018-09-16,16:37:10,Dinner,BK,"[('Fish&Chips', 6), ('Shrimp', 4), ('Salmon', 4)]",590.0,-37.8037621,144.9798642,0,6.49,15.4694185
ORDC04698,2018-06-26,13:44:47,Lunch,NS,"[('Steak', 1), ('Fries', 6), ('Salad', 3), ('Chicken', 6), ('Burger', 9)]",639.6,-37.825772,144.9844382,0,9.534,15.2678902
ORDC03379,2018-08-06,15:05:54,Lunch,NS,"[('Salad', 9), ('Chicken', 8), ('Burger', 7), ('Fries', 3), ('Steak', 8)]",1023.8,-37.8047683,144.9981308,0,8.988,14.7187742
ORDX10845,2018-09-12,16:27:02,Dinner,BK,"[('Salmon', 3), ('Fish&Chips', 7), ('Shrimp', 3)]",530.0,-37.7997424,144.9920191,0,5.885,12.8875335
ORDC08679,2018-07-07,14:05:04,Lunch,NS,"[('Steak', 3), ('Chicken', 4)]",263.0,-37.8017509,144.9950977,0,8.532,15.5276852
ORDI00337,2018-01-27,08:50:42,Breakfast,NS,"[('Cereal', 3), ('Coffee', 1), ('Pancake', 8)]",264.5,-37.8164465,144.9552797,0,8.768,15.8914754
ORDY03228,2018-11-16,18:28:43,Dinner,TP,"[('Fish&Chips', 9), ('Salmon', 10), ('Shrimp', 8), ('Pasta', 6)]",1322.0,-37.8149753,145.0045748,0,11.327,14.9057013
ORDY06013,2018-09-18,16:37:10,Dinner,TP,"[('Salmon', 1), ('Shrimp', 8), ('Fish&Chips', 4), ('Pasta', 9)]",860.5,-37.8069395,144.9578788,0,9.192,19.5575832
ORDB08475,2018-10-03,17:07:36,Dinner,TP,"[('Pasta', 7), ('Salmon', 4), ('Fish&Chips', 5)]",531.5,-37.8023967,144.9634554,0,9.486,13.0659693
ORDY06474,2018-10-14,17:27:53,Dinner,TP,"[('Pasta', 5), ('Salmon', 1), ('Shrimp', 6), ('Fish&Chips', 2)]",572.5,-37.8189288,144.9637475,0,7.947,13.6084263
ORDC00793,2018-08-07,15:16:03,Lunch,NS,"[('Steak', 10), ('Burger', 8), ('Salad', 7)]",818.4,-37.8108766,145.0141308,0,10.744,16.1140606
ORDA05936,2018-08-29,15:56:37,Lunch,BK,"[('Salad', 1), ('Burger', 8)]",265.2,-37.8118155,144.95579,0,8.149,13.8450432
ORDY09122,2018-07-18,14:35:29,Lunch,TP,"[('Steak', 3), ('Salad', 4), ('Burger', 3), ('Chicken', 3)]",392.8,-37.8056745,144.9767253,0,9.54,12.9759086
ORDZ07257,2018-01-01,08:00:00,Breakfast,NS,"[('Cereal', 7), ('Eggs', 8), ('Pancake', 2)]",371.5,-37.8214836,144.9612666,1,9.093,6.6000239
ORDY07072,2018-12-02,19:09:17,Dinner,TP,"[('Salmon', 5), ('Pasta', 8)]",425.0,-37.8189447,144.9586486,0,7.912,13.9406826
ORDC07206,2018-01-28,08:50:42,Breakfast,NS,"[('Pancake', 4), ('Coffee', 9), ('Cereal', 6)]",290.5,-37.8246362,144.9568396,0,9.698,16.5171639
ORDJ01201,2018-04-29,11:53:14,Breakfast,TP,"[('Pancake', 5), ('Eggs', 5)]",231.25,-37.8155823,144.9867456,0,9.588,6.67611355
ORDI07974,2018-07-21,14:35:29,Lunch,NS,"[('Burger', 2), ('Steak', 7), ('Fries', 4), ('Chicken', 8), ('Salad', 10)]",853.0,-37.8084564,144.9382217,0,10.169,17.9241093
ORDA00259,2018-07-11,14:15:12,Lunch,BK,"[('Steak', 7), ('Chicken', 3)]",411.0,-37.7999502,144.97711,0,7.071,12.9334429
ORDJ02437,2018-05-21,12:33:48,Lunch,TP,"[('Burger', 9), ('Chicken', 2), ('Steak', 1), ('Fries', 4)]",436.0,-37.8054736,144.95798,0,9.153,11.8780562
ORDZ00473,2018-01-19,08:30:25,Breakfast,NS,"[('Pancake', 9), ('Coffee', 8)]",278.25,-37.8115492,144.9362069,0,10.454,7.8401602
ORDB01719,2018-02-25,09:41:24,Breakfast,TP,"[('Cereal', 2), ('Coffee', 5), ('Pancake', 5)]",200.75,-37.8203864,144.9753197,0,8.345,12.2385521
ORDJ04419,2018-06-16,13:24:30,Lunch,TP,"[('Chicken', 2), ('Salad', 7), ('Fries', 1), ('Steak', 4)]",376.4,-37.8127925,145.0105819,0,12.117,16.0754615
ORDX03168,2018-07-05,14:05:04,Lunch,BK,"[('Chicken', 6), ('Steak', 7), ('Fries', 4), ('Salad', 9)]",709.8,-37.8007919,144.9701024,0,7.455,13.2574576
ORDB07704,2018-11-22,18:49:00,Dinner,TP,"[('Shrimp', 1), ('Salmon', 3)]",177.0,-37.811226,144.9731407,0,8.871,13.0566769
ORDI07902,2018-07-13,14:25:21,Lunch,NS,"[('Fries', 4), ('Salad', 3), ('Steak', 10)]",549.6,-37.8234498,144.9770781,0,9.042,14.3652544
ORDX08500,2018-05-03,12:03:22,Lunch,BK,"[('Steak', 8), ('Salad', 3)]",411.6,-37.8059806,144.9391348,0,9.647,15.2405547
ORDA02609,2018-01-28,08:50:42,Breakfast,BK,"[('Pancake', 4), ('Eggs', 9), ('Coffee', 7)]",347.5,-37.8210233,144.955056,0,8.588,15.5087135
ORDA04544,2018-08-26,15:46:28,Lunch,BK,"[('Steak', 3), ('Fries', 8), ('Salad', 7), ('Chicken', 5), ('Burger', 6)]",697.4,-37.8120823,144.9383737,0,10.409,18.7139632
ORDB00801,2018-05-10,12:13:31,Lunch,TP,"[('Chicken', 2), ('Steak', 4), ('Fries', 6), ('Burger', 4), ('Salad', 9)]",594.8,-37.7993521,144.9640569,0,9.826,13.3204021
ORDA05118,2018-09-01,15:56:37,Lunch,BK,"[('Fries', 2), ('Burger', 4), ('Salad', 6), ('Steak', 8), ('Chicken', 9)]",899.2,-37.8167573,144.9542771,0,8.565,17.1545557
ORDA08915,2018-10-19,17:38:01,Dinner,BK,"[('Shrimp', 7), ('Pasta', 5), ('Salmon', 7), ('Fish&Chips', 6)]",1012.5,-37.8185905,144.9669967,0,7.589,14.9533521
ORDB08326,2018-10-14,17:27:53,Dinner,TP,"[('Shrimp', 4), ('Pasta', 6), ('Fish&Chips', 7), ('Salmon', 1)]",667.0,-37.811841,145.0027823,0,11.178,8.10937705
ORDA05675,2018-05-30,12:54:05,Lunch,BK,"[('Burger', 8), ('Salad', 9), ('Chicken', 5), ('Steak', 4), ('Fries', 5)]",802.8,-37.8174962,144.9900733,0,5.665,11.6435588
ORDZ05757,2018-05-15,12:23:39,Lunch,NS,"[('Fries', 10), ('Steak', 5), ('Salad', 7), ('Chicken', 10)]",785.4,-37.8240452,144.9538112,0,9.833,15.8921189
ORDX06363,2018-07-10,14:15:12,Lunch,BK,"[('Fries', 10), ('Steak', 1), ('Chicken', 6)]",357.0,-37.8243669,144.9827426,0,7.061,12.6620387
ORDX01704,2018-08-19,15:36:20,Lunch,BK,"[('Burger', 7), ('Steak', 4)]",397.0,-37.8043,144.9458355,0,9.06,17.5812308
ORDJ02606,2018-05-23,12:43:56,Lunch,TP,"[('Steak', 8), ('Fries', 7), ('Salad', 7), ('Burger', 3)]",657.4,-37.8151172,144.9840884,0,9.326,12.6851411
ORDC06458,2018-09-01,16:06:45,Dinner,NS,"[('Shrimp', 1), ('Fish&Chips', 6), ('Salmon', 9)]",633.0,-37.8158559,144.9571644,0,8.603,16.8314378
ORDC07579,2018-10-09,17:17:44,Dinner,NS,"[('Pasta', 9), ('Salmon', 6), ('Fish&Chips', 4)]",633.5,-37.8216678,144.9737127,0,9.1,15.2151641
ORDJ01753,2018-11-18,18:38:52,Dinner,TP,"[('Pasta', 10), ('Salmon', 5)]",480.0,-37.8190219,145.0083311,0,11.367,17.106509
ORDY06992,2018-08-14,15:26:11,Lunch,TP,"[('Burger', 6), ('Chicken', 6), ('Fries', 2), ('Salad', 4), ('Steak', 5)]",695.8,-37.8232037,144.9559011,0,8.037,11.3584179
ORDB10596,2018-09-04,16:06:45,Dinner,TP,"[('Salmon', 3), ('Pasta', 4), ('Fish&Chips', 2)]",303.0,-37.8096361,144.9403393,0,10.814,15.0072754
ORDY00547,2018-03-13,10:21:58,Breakfast,TP,"[('Cereal', 7), ('Eggs', 2), ('Pancake', 6), ('Coffee', 9)]",404.0,-37.8238537,144.9811678,0,8.827,11.5440646
ORDA11026,2018-06-14,13:24:30,Lunch,BK,"[('Steak', 9), ('Burger', 10), ('Chicken', 4), ('Salad', 3), ('Fries', 5)]",954.6,-37.8045443,144.9535055,0,8.416,14.2319866
ORDY10078,2018-08-04,15:05:54,Lunch,TP,"[('Salad', 1), ('Chicken', 2)]",81.2,-37.8038861,144.9497499,0,9.972,14.8274307
ORDC01021,2018-03-08,10:11:49,Breakfast,NS,"[('Eggs', 7), ('Pancake', 2)]",202.5,-37.8079154,144.9733791,0,7.096,12.6305799
ORDI04525,2018-01-27,08:50:42,Breakfast,NS,"[('Cereal', 2), ('Pancake', 10), ('Eggs', 4), ('Coffee', 5)]",410.0,-37.8102567,144.9384715,0,9.776,17.2928808
ORDA05361,2018-06-17,13:34:38,Lunch,BK,"[('Burger', 9), ('Fries', 8)]",375.0,-37.801844,144.9813581,0,6.546,14.8962809
ORDA10068,2018-09-15,16:27:02,Dinner,BK,"[('Pasta', 2), ('Shrimp', 6)]",379.0,-37.8153039,144.9748912,0,6.721,16.4791496
