ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID617281164,2/63 Domain St,3,u,920000.0,13/05/2017,1.0,1.0,0.0,49.0,-37.836,144.9782
ID452715143,8/7 Passfield St,2,u,521500.0,3/09/2016,1.0,1.0,0.0,59.0,-37.768,144.9408
ID895713969,65 Napier St,3,h,1467000.0,7/11/2016,2.0,2.0,188.0,119.0,-37.7532,144.9178
ID721036868,3 Veronica St,3,h,1390000.0,7/05/2016,2.0,2.0,590.0,59.0,-37.9256,145.0757
ID916194179,24 Brooks St,4,h,1220000.0,4/06/2016,2.0,2.0,585.0,69.0,-37.9167,145.0771
ID141560534,8A Tangyes St,3,h,1210000.0,8/07/2017,2.0,1.0,330.0,7.0,-37.72623,144.94521
ID938172543,7/49 Bruce St,2,u,867000.0,8/04/2017,1.0,1.0,1087.0,16.0,-37.8373,145.0106
ID491390446,2/23 Foam St,2,u,582500.0,8/10/2016,1.0,1.0,0.0,49.0,-37.885,144.991
ID858832688,15 Winton Rd,4,t,1510000.0,20/05/2017,3.0,2.0,274.0,11.0,-37.87300000000001,145.0664
ID828357810,104 Weeden Dr,5,h,1300000.0,19/08/2017,2.0,2.0,786.0,49.0,-37.86072,145.18489
ID346911193,364 Kooyong Rd,4,h,1916000.0,28/05/2016,2.0,2.0,630.0,109.0,-37.8894,145.0145
ID193905068,31 Carrington Rd,2,h,1190000.0,19/11/2016,1.0,2.0,650.0,11.0,-37.7378,144.8893
ID627338933,4 Lee Ct,3,h,1000000.0,19/08/2017,1.0,1.0,715.0,44.0,-37.82707,145.22914
ID391074968,33 Eleanor St,4,h,2215000.0,10/09/2016,2.0,1.0,681.0,79.0,-37.8612,145.0858
ID170903687,2A Collins St,4,h,4050000.0,12/08/2017,4.0,4.0,508.0,8.0,-37.90904000000001,144.99868
ID414558307,1/27 Noordenne Av,1,u,312000.0,29/07/2017,1.0,0.0,0.0,49.0,-37.86007,144.84578
ID379910598,47A Madden St,3,h,755000.0,12/08/2017,2.0,2.0,0.0,9.0,-37.78966,144.87821
ID384616952,60 Rose St,3,h,947000.0,28/05/2016,1.0,2.0,996.0,9.0,-37.7564,144.9527
ID496035684,1 Irving Rd,4,h,400000.0,3/06/2017,2.0,2.0,643.0,12.0,-37.688340000000004,144.56803
ID456029173,15A Riversdale Av,3,h,825000.0,22/07/2017,2.0,1.0,355.0,29.0,-38.07196,145.13036
ID539282731,11/201 Wellington Pde S,1,u,630000.0,25/02/2017,1.0,1.0,0.0,49.0,-37.8168,144.9787
ID725102091,20 Atkinson Cl,3,t,1525000.0,3/09/2017,2.0,2.0,150.0,49.0,-37.8567,144.99665
ID119650571,7B Hargreaves St,3,h,2725000.0,13/05/2017,2.0,1.0,0.0,119.0,-37.8007,144.9833
ID969227072,2/686 Inkerman Rd,2,u,575000.0,20/05/2017,1.0,1.0,0.0,49.0,-37.8692,145.0233
ID146405615,54 Kent St,3,h,1350000.0,23/09/2017,2.0,1.0,275.0,27.0,-37.80442,145.04085
ID958257195,150 Page St,3,h,1750000.0,27/05/2017,2.0,0.0,138.0,134.0,-37.84962,144.95856
ID341194770,3/1 Edinburgh St,3,u,810000.0,15/10/2016,1.0,1.0,195.0,59.0,-37.9396,145.0156
ID358171769,2/618 Sydney Rd,3,t,600000.0,25/02/2017,1.0,1.0,102.0,43.0,-37.736,144.9665
ID610360217,1 Tudor St,3,h,820000.0,10/12/2016,2.0,4.0,805.0,69.0,-37.708,144.9211
ID513106542,2/17 Bulla Rd,2,u,396000.0,3/09/2016,1.0,1.0,0.0,44.0,-37.7428,144.9086
ID541332521,14 New St,3,h,1300000.0,18/06/2016,1.0,2.0,212.0,119.0,-37.8542,145.0149
ID399605555,13 Wood St,4,h,1910000.0,18/06/2016,2.0,4.0,736.0,69.0,-37.9224,145.0462
ID306552689,97 Haldane Rd,3,t,770000.0,7/05/2016,2.0,1.0,313.0,8.0,-37.7335,144.8788
ID750985232,16 York St,3,h,722000.0,28/08/2016,1.0,3.0,781.0,69.0,-37.7048,144.9097
ID485079780,3/124 Canterbury Rd,2,u,685000.0,27/11/2016,1.0,1.0,122.0,24.0,-37.8236,145.0729
ID857324604,9/823 Rathdowne St,1,u,468000.0,11/03/2017,1.0,1.0,861.0,49.0,-37.7851,144.9723
ID866433680,1211/50 Albert Rd,2,u,530000.0,3/06/2017,1.0,1.0,1646.0,7.0,-37.83406,144.97131000000005
ID777269209,20 Walter St,4,h,1715000.0,17/06/2017,1.0,2.0,758.0,39.0,-37.86924000000001,145.16471
ID887562038,61 Union St,4,h,3660000.0,25/02/2017,3.0,2.0,421.0,99.0,-37.8593,145.0275
ID554816890,8 Vickery St,5,h,1900000.0,24/06/2017,1.0,2.0,644.0,59.0,-37.91753,145.03907
ID975414347,25 Gray St,4,h,1755000.0,28/08/2016,2.0,1.0,354.0,109.0,-37.7745,144.9523
ID581657736,81 Marlborough St,3,h,1430000.0,27/05/2017,2.0,2.0,614.0,69.0,-37.91068,145.06802
ID858488564,84 MacPherson St,3,h,1320000.0,19/08/2017,2.0,0.0,495.0,104.0,-37.796,144.88966000000005
ID813395146,16/116 Arthurton Rd,2,u,418000.0,7/05/2016,1.0,1.0,1882.0,8.0,-37.768,144.9895
ID755736089,8/66 Riddell Pde,2,u,577000.0,28/05/2016,1.0,0.0,0.0,129.0,-37.8889,145.0043
ID505133136,3/18 Furzer St,3,u,605000.0,26/07/2016,1.0,2.0,192.0,7.0,-37.7277,144.9851
ID606818604,22 Stanley St,4,h,1770000.0,23/09/2017,2.0,3.0,461.0,89.0,-37.76296,144.97239
ID607471455,5 Charles St,4,h,705000.0,25/02/2017,2.0,1.0,570.0,79.0,-37.7749,144.8329
ID700886559,38 Stanhope St,3,h,632000.0,12/08/2017,1.0,4.0,697.0,59.0,-37.68557,144.93156000000005
ID411840617,1/5 Thistle St,1,h,350000.0,22/04/2017,1.0,1.0,46.0,49.0,-37.7515,144.9125
ID451754443,2 Sanicki Ct,3,t,670000.0,27/11/2016,1.0,2.0,233.0,59.0,-37.9376,145.0784
ID840322483,567 Grimshaw St,3,h,1234000.0,19/08/2017,1.0,2.0,896.0,54.0,-37.70042,145.0614
ID510648692,22 Milliara Gr,8,h,1880000.0,13/05/2017,3.0,3.0,614.0,94.0,-37.9097,145.0161
ID838265999,196 Blyth St,5,h,1480000.0,13/05/2017,3.0,4.0,725.0,39.0,-37.8712,144.8107
ID294835206,8 Centenary Cr,3,h,383000.0,22/07/2017,1.0,2.0,548.0,59.0,-37.8889,144.65743999999995
ID631739712,13 Crawley St,4,h,1015000.0,8/10/2016,1.0,1.0,518.0,99.0,-37.726,145.0044
ID572340964,48 Thomas St,2,h,1000000.0,10/09/2016,1.0,2.0,564.0,71.0,-37.9143,145.0238
ID384280028,19 Glassford St,3,h,2365000.0,18/06/2016,2.0,1.0,316.0,53.0,-37.8521,145.019
ID725035685,6/105 Cochrane St,2,u,845000.0,29/07/2017,1.0,1.0,100.0,59.0,-37.89569,144.99881000000005
ID665034538,3 Mantaura Av,4,h,704000.0,15/07/2017,2.0,2.0,644.0,29.0,-37.71128,144.80686
ID886878881,6 Sanderson St,2,h,890000.0,3/09/2016,1.0,2.0,471.0,69.0,-37.8149,144.8707
ID549540545,8/2 Pottery Ct,3,t,641000.0,14/05/2016,2.0,1.0,0.0,119.0,-37.7703,144.9533
