Ranking,School Name,State,School Sector,Location,Total Enrolment,Percentage
1,Presbyterian Ladies' College,VIC,Independent,Major Cities,1412,96.65%
2,Haileybury College,VIC,Independent,Major Cities,3754,95.69%
3,Ballarat Clarendon College,VIC,Independent,Inner Regional,1326,93.29%
4,Fitzroy Community School,VIC,Independent,Major Cities,113,93.13%
5,Fintona Girls' School,VIC,Independent,Major Cities,456,92.96%
6,Huntingtower School,VIC,Independent,Major Cities,686,92.88%
7,Beverley Hills Primary School,VIC,Government,Major Cities,473,92.74%
8,Oakleigh South Primary School,VIC,Government,Major Cities,1006,91.90%
9,Scotch College,VIC,Independent,Major Cities,1883,91.85%
10,Serpell Primary School,VIC,Government,Major Cities,1159,91.81%
11,Camberwell Grammar School,VIC,Independent,Major Cities,1301,91.69%
12,Mentone Girls' Grammar School,VIC,Independent,Major Cities,739,91.40%
13,St Andrews Christian College,VIC,Independent,Major Cities,581,91.25%
14,Christ Church Grammar School,VIC,Independent,Major Cities,292,90.89%
15,Waverley Christian College,VIC,Independent,Major Cities,1867,90.65%
16,Balwyn Primary School,VIC,Government,Major Cities,537,90.56%
17,Erasmus School,VIC,Independent,Major Cities,106,90.32%
18,Lighthouse Christian College Cranbourne,VIC,Independent,Major Cities,863,90.28%
19,Glendal Primary School,VIC,Government,Major Cities,873,90.15%
20,Thomastown East Primary School,VIC,Government,Major Cities,169,90.13%
21,Doncaster Gardens Primary School,VIC,Government,Major Cities,681,90.03%
22,Korowa Anglican Girls' School,VIC,Independent,Major Cities,620,90.03%
23,Carey Baptist Grammar School,VIC,Independent,Major Cities,2248,90.01%
24,Firbank Grammar School,VIC,Independent,Major Cities,1107,89.99%
25,The Knox School,VIC,Independent,Major Cities,567,89.99%
26,Southmoor Primary School,VIC,Government,Major Cities,432,89.84%
27,Loreto Mandeville Hall,VIC,Catholic,Major Cities,1167,89.77%
28,Wheelers Hill Primary School,VIC,Government,Major Cities,528,89.74%
29,Camberwell Girls Grammar School,VIC,Independent,Major Cities,712,89.56%
30,Lauriston Girls' School,VIC,Independent,Major Cities,897,89.50%
31,Bentleigh West Primary School,VIC,Government,Major Cities,605,89.44%
32,Holy Trinity Primary School,VIC,Catholic,Major Cities,381,89.44%
33,St Leonard's College,VIC,Independent,Major Cities,1426,89.41%
34,Sholem Aleichem College,VIC,Independent,Major Cities,180,89.31%
35,Camberwell Primary School,VIC,Government,Major Cities,654,89.12%
36,Camelot Rise Primary School,VIC,Government,Major Cities,444,89.10%
37,Knox Gardens Primary School,VIC,Government,Major Cities,292,89.10%
38,Ivanhoe Girls' Grammar School,VIC,Independent,Major Cities,920,88.93%
39,Burwood East Primary School,VIC,Government,Major Cities,274,88.88%
40,Genazzano FCJ College,VIC,Catholic,Major Cities,1026,88.88%
41,Methodist Ladies' College,VIC,Independent,Major Cities,2034,88.81%
42,Deepdene Primary School,VIC,Government,Major Cities,452,88.79%
43,Canterbury Primary School,VIC,Government,Major Cities,605,88.71%
44,South Yarra Primary School,VIC,Government,Major Cities,377,88.52%
45,Mount View Primary School,VIC,Government,Major Cities,1083,88.41%
46,Glen Waverley Primary School,VIC,Government,Major Cities,864,88.41%
47,Vermont Primary School,VIC,Government,Major Cities,694,88.40%
48,Eltham East Primary School,VIC,Government,Major Cities,647,88.35%
49,Good Shepherd School,VIC,Catholic,Major Cities,488,88.35%
50,St Cecilia's School,VIC,Catholic,Major Cities,253,88.33%
51,Pinewood Primary School,VIC,Government,Major Cities,656,88.26%
52,Preston West Primary School,VIC,Government,Major Cities,678,88.23%
53,Kingswood College,VIC,Independent,Major Cities,567,88.23%
54,Ruyton Girls' School,VIC,Independent,Major Cities,839,88.17%
55,Toorak College,VIC,Independent,Major Cities,737,88.17%
56,Trinity Grammar School Kew,VIC,Independent,Major Cities,1381,88.05%
57,Good Shepherd Lutheran Primary School,VIC,Independent,Major Cities,529,88.04%
58,Westbourne Grammar School,VIC,Independent,Major Cities,1479,88.02%
59,St Margaret's School,VIC,Independent,Major Cities,824,87.97%
60,St Kevin's College,VIC,Catholic,Major Cities,2037,87.93%
61,Kilvington Grammar School,VIC,Independent,Major Cities,723,87.90%
62,Glenferrie Primary School,VIC,Government,Major Cities,357,87.83%
63,Livingstone Primary School,VIC,Government,Major Cities,774,87.80%
64,Templeton Primary School,VIC,Government,Major Cities,720,87.80%
65,Melbourne Girls Grammar,VIC,Independent,Major Cities,946,87.76%
66,Sacred Heart School,VIC,Catholic,Major Cities,277,87.61%
67,Our Lady of Lourdes School,VIC,Catholic,Major Cities,140,87.59%
68,Malvern Central School,VIC,Government,Major Cities,416,87.57%
69,Strathcona Baptist Girls' Grammar,VIC,Independent,Major Cities,733,87.52%
70,Brighton Grammar School,VIC,Independent,Major Cities,1218,87.52%
71,Birralee Primary School,VIC,Government,Major Cities,426,87.50%
72,Chilwell Primary School,VIC,Government,Major Cities,374,87.49%
73,St Kilda Park Primary School,VIC,Government,Major Cities,350,87.45%
74,Highvale Primary School,VIC,Government,Major Cities,294,87.40%
75,Melbourne Montessori School,VIC,Independent,Major Cities,266,87.38%
76,Hampton Primary School,VIC,Government,Major Cities,731,87.33%
77,Carnegie Primary School,VIC,Government,Major Cities,590,87.30%
78,Hartwell Primary School,VIC,Government,Major Cities,710,87.30%
79,Melbourne Grammar School,VIC,Independent,Major Cities,1794,87.30%
80,Murrumbeena Primary School,VIC,Government,Major Cities,559,87.28%
81,Alphington Primary School,VIC,Government,Major Cities,428,87.23%
82,St Dominic's School,VIC,Catholic,Major Cities,286,87.20%
83,Toorak Primary School,VIC,Government,Major Cities,503,87.18%
84,Sandridge School,VIC,Independent,Major Cities,112,87.18%
85,Brandon Park Primary School,VIC,Government,Major Cities,390,87.14%
86,Banyule Primary School,VIC,Government,Major Cities,654,87.13%
87,Armadale Primary School,VIC,Government,Major Cities,370,87.08%
88,Park Orchards Primary School,VIC,Government,Major Cities,323,87.04%
89,Wattle Park Primary School,VIC,Government,Major Cities,391,87.02%
90,Our Lady Help of Christians School,VIC,Catholic,Major Cities,200,86.99%
91,Kerrimuir Primary School,VIC,Government,Major Cities,344,86.96%
92,Caulfield Grammar School,VIC,Independent,Major Cities,3082,86.96%
93,Greythorn Primary School,VIC,Government,Major Cities,565,86.94%
94,Casey Grammar School,VIC,Independent,Major Cities,807,86.89%
95,St Joan of Arc School,VIC,Catholic,Major Cities,375,86.80%
96,Mount Waverley Heights Primary School,VIC,Government,Major Cities,183,86.63%
97,Footscray City Primary School,VIC,Government,Major Cities,365,86.61%
98,Burwood Heights Primary School,VIC,Government,Major Cities,341,86.61%
99,Caulfield Primary School,VIC,Government,Major Cities,271,86.61%
100,Ivanhoe Primary School,VIC,Government,Major Cities,615,86.58%
101,Ss Peter & Paul's School,VIC,Catholic,Major Cities,162,86.58%
